Iteration,KMeans_ARI,GMM_ARI
0,0.9954804303011152,1.0
1,0.5212671113825085,0.3885604411548143
2,1.0,1.0
3,0.9996732417545233,0.3885604411548143
4,0.519193198948237,0.007965891349892078
5,0.5179318101430901,0.29933962040324624
6,0.9970629303229868,0.3885604411548143
7,0.9996732556373762,0.3885604411548143
8,0.5212608688371871,1.0
